name of disease|brief description|causes|symptoms|treatment|dosage
Acne Vulgaris|A common skin condition that occurs when hair follicles become clogged with oil and dead skin cells.|Hormonal changes, excess sebum production, bacteria (Propionibacterium acnes), and genetics.|Whiteheads, blackheads, pimples, oily skin, and scarring.|Topical retinoids, benzoyl peroxide, salicylic acid, antibiotics. For severe cases, oral isotretinoin may be prescribed.|Children: Topical medications (e.g., benzoyl peroxide 2.5-5%) applied once daily. Adults: Same topical treatments; oral antibiotics (e.g., doxycycline 100mg twice daily) or isotretinoin (0.5-1mg/kg/day) for severe cases.
Allergic Rhinitis|Inflammation of the nasal passages caused by an allergic reaction to airborne substances.|Exposure to allergens such as pollen, dust mites, pet dander, or mold.|Sneezing, runny nose, itchy nose/eyes/throat, watery eyes, and nasal congestion.|Avoidance of allergens, antihistamines, nasal corticosteroids, and decongestants.|Children: Cetirizine syrup (5mg/5ml) 2.5-5ml once daily for ages 2-6; 10ml for ages 6+. Adults: Cetirizine 10mg once daily; Fluticasone nasal spray 2 sprays per nostril once daily.
Alzheimer's Disease|A progressive neurodegenerative disease that causes brain cells to waste away and die, leading to dementia.|Unknown, but linked to genetic mutations, age, and the accumulation of amyloid plaques and neurofibrillary tangles in the brain.|Memory loss, confusion, difficulty with thinking and reasoning, disorientation, changes in personality and behavior.|Cholinesterase inhibitors, NMDA receptor antagonists, and supportive care to manage symptoms.|Children: Not applicable. Adults: Donepezil 5-10mg once daily; Memantine 5-20mg once or twice daily; dosage adjusted based on kidney function.
Anxiety Disorder|A mental health condition characterized by excessive and persistent worry, fear, and nervousness.|Genetics, brain chemistry, personality, and traumatic life events.|Restlessness, increased heart rate, rapid breathing, sweating, trembling, difficulty concentrating, and sleep problems.|Psychotherapy (CBT), antidepressant medications (SSRIs, SNRIs), and anti-anxiety medications.|Children: SSRIs like Sertraline (25-50mg once daily) for ages 6+; dosage based on weight. Adults: Sertraline 50-200mg once daily.
Asthma|A chronic respiratory condition that involves inflammation and narrowing of the airways, causing breathing difficulties.|Genetics, allergies, respiratory infections, and environmental triggers like smoke or pollution.|Wheezing, shortness of breath, chest tightness, and coughing, especially at night or early morning.|Inhaled corticosteroids (preventers), bronchodilators (relievers), and leukotriene modifiers. [citation:5]|Children: Inhaled Fluticasone (88 mcg) 2 puffs twice daily; Albuterol (90 mcg) 1-2 puffs every 4-6 hours for symptoms. Adults: Fluticasone (250 mcg) 2 puffs twice daily; Albuterol (90 mcg) 2 puffs every 4-6 hours.
Athlete's Foot|A common fungal infection of the skin on the feet.|Fungus (Trichophyton) that thrives in warm, moist environments like shoes and public showers.|Itchy, scaly rash between the toes; burning or stinging; cracked, peeling skin; blisters.|Over-the-counter or prescription antifungal creams, powders, or sprays.|Children: Terbinafine cream (1%) applied 1-2 times daily for 1-2 weeks. Adults: Same as children; oral Terbinafine (250mg once daily) for 2-6 weeks if topical treatment fails.
Atrial Fibrillation|An irregular and often very fast heart rhythm (arrhythmia) that can lead to blood clots in the heart.|High blood pressure, heart disease, alcohol abuse, hyperthyroidism, and heart surgery.|Palpitations, shortness of breath, fatigue, dizziness, chest pain, and weakness.|Medications to control heart rate/rhythm, blood thinners to prevent stroke, and sometimes cardioversion or ablation.|Children: Digoxin (10 mcg/kg/day) for rate control; dosage adjusted by serum levels. Adults: Metoprolol 25-100mg twice daily; Apixaban 5mg twice daily (reduced for age/renal function).
Bronchitis|Inflammation of the bronchial tubes, often caused by a viral infection, leading to excessive mucus production.|Viral infections, bacterial infections, and exposure to tobacco smoke or air pollution.|Persistent cough with clear, yellow, or green mucus; shortness of breath; wheezing; chest tightness; fatigue; fever. [citation:5]|Rest, fluids, cough suppressants, and sometimes bronchodilators or antibiotics (if bacterial). [citation:5]|Children: Albuterol syrup (2mg/5ml) 0.1-0.15mg/kg 3-4 times daily. Adults: Albuterol inhaler (90 mcg) 2 puffs every 4-6 hours; Doxycycline 100mg twice daily for 7 days (if bacterial).
Cataract|Clouding of the eye's natural lens, which leads to a decrease in vision.|Aging, diabetes, smoking, excessive alcohol use, and prolonged exposure to UV sunlight.|Blurred, cloudy vision; difficulty seeing at night; sensitivity to light and glare; seeing halos; fading of colors.|Surgery to remove the cloudy lens and replace it with an artificial one.|Children: Not applicable (surgical). Adults: Not applicable (surgical).
Common Cold (Viral Rhinitis)|A mild viral infection of the upper respiratory tract.|Numerous viruses, most commonly rhinoviruses.|Runny/stuffy nose, sneezing, sore throat, cough, headache, mild fatigue, and low-grade fever.|Rest, fluids, over-the-counter decongestants, antihistamines, and pain relievers.|Children (6-12 years): Pseudoephedrine (30mg) 1 tablet every 4-6 hours. Adults: Pseudoephedrine (60mg) 1 tablet every 4-6 hours. Paracetamol based on weight for fever. [citation:6]
Constipation|Infrequent and difficult bowel movements.|Diet low in fiber, dehydration, lack of exercise, certain medications, and medical conditions.|Fewer than 3 bowel movements a week, hard/dry/lumpy stool, straining, and feeling of incomplete evacuation.|Increase fiber and water intake, exercise, and use of laxatives or stool softeners.|Children (2-6 years): Polyethylene Glycol 3350 (1/4 capful) in water once daily. Adults: Polyethylene Glycol 3350 (1 capful) in water once daily.
COPD|A chronic inflammatory lung disease that causes obstructed airflow from the lungs.|Long-term exposure to irritating gases or particulate matter, most often from cigarette smoke. [citation:5]|Shortness of breath, wheezing, chest tightness, chronic cough, and frequent respiratory infections. [citation:5]|Smoking cessation, bronchodilators, inhaled corticosteroids, pulmonary rehabilitation, and oxygen therapy. [citation:5]|Children: Not applicable. Adults: Tiotropium 18 mcg inhaled once daily; Fluticasone/Salmeterol 250/50 mcg 1 puff twice daily.
Cystitis|A urinary tract infection (UTI) that affects the bladder, commonly caused by E. coli.|Bacteria entering the urethra and bladder, sexual activity, and improper wiping technique.|Frequent urge to urinate, burning with urination, cloudy or strong-smelling urine, pelvic pain, and lower abdominal pressure.|Antibiotics to kill the bacteria and pain relievers to ease symptoms. [citation:2]|Children: Amoxicillin-clavulanate (20-40mg/kg/day of amoxicillin) divided into 2-3 doses for 7 days. Adults: Nitrofurantoin (100mg) twice daily for 5 days.
Deep Vein Thrombosis (DVT)|A blood clot that forms in a deep vein, usually in the leg.|Prolonged immobility, surgery, injury, cancer, obesity, smoking, and certain genetic disorders.|Leg pain, swelling, redness, warmth, and tenderness in the affected area.|Blood thinners (anticoagulants) to prevent clots from growing or breaking loose.|Children: Enoxaparin (1mg/kg) injected subcutaneously twice daily; dosage based on weight. Adults: Enoxaparin (1mg/kg) twice daily or Warfarin (5mg daily) adjusted to INR of 2-3.
Depression|A common and serious medical illness that negatively affects how you feel, the way you think, and how you act.|Genetics, brain chemistry, stress, trauma, and major life changes.|Persistent sadness, loss of interest, changes in appetite or sleep, fatigue, difficulty concentrating, and thoughts of death or suicide.|Psychotherapy, antidepressant medications (SSRIs, SNRIs, tricyclics), and brain stimulation therapies.|Children (adolescents): Fluoxetine (10-20mg once daily) for ages 8+. Adults: Fluoxetine 20-80mg once daily.
Type 1 Diabetes|An autoimmune condition where the pancreas produces little to no insulin.|Autoimmune reaction destroying insulin-producing beta cells in the pancreas; genetics and environmental triggers.|Increased thirst/frequent urination, extreme hunger, unintended weight loss, fatigue, blurred vision, and slow-healing sores.|Insulin therapy (multiple daily injections or pump), blood sugar monitoring, and dietary management.|Children: Insulin glargine (0.2-0.4 units/kg) once daily plus rapid-acting insulin (Novolog) with meals (based on carbohydrate intake). Adults: Same principles; total daily insulin 0.5-1 unit/kg.
Type 2 Diabetes|A chronic condition that affects the way the body processes blood sugar (glucose).|Genetics, obesity, physical inactivity, age, and insulin resistance.|Increased thirst/frequent urination, hunger, fatigue, blurred vision, slow-healing sores, and tingling/numbness in hands/feet.|Lifestyle changes (diet and exercise), oral medications, and sometimes insulin.|Children (10+): Metformin (500mg) twice daily. Adults: Metformin (500mg) twice daily; dosage can be increased to 1000mg twice daily. [citation:8]
Diverticulitis|Infection or inflammation of pouches (diverticula) that can form in the digestive tract.|A diet low in fiber, leading to increased pressure in the colon, causing pouches to bulge out and become inflamed.|Abdominal pain (often left lower quadrant), fever, nausea, vomiting, constipation, and diarrhea.|Mild cases: diet modification and antibiotics. Severe cases: hospital care, IV antibiotics, or surgery.|Children: Not applicable. Adults: Ciprofloxacin (500mg) twice daily and Metronidazole (500mg) 3 times daily for 7-10 days.
Eczema|A condition that makes skin red, inflamed, and itchy, often seen in people with allergies or asthma.|Genetics, immune system dysfunction, and environmental triggers like dry skin, irritants, and stress.|Dry, itchy skin; red to brownish-gray patches; small raised bumps; thickened, cracked, or scaly skin.|Moisturizers, corticosteroid creams, and antihistamines for itching.|Children: Hydrocortisone cream (1%) applied to affected area twice daily. Adults: Betamethasone valerate (0.1%) cream applied twice daily for 2-4 weeks.
Endometriosis|A disorder in which tissue similar to the tissue that normally lines the uterus grows outside the uterus.|Unknown, but involves hormonal and immune system factors.|Painful periods, pain during intercourse, pain with bowel movements, and infertility.|Pain relievers, hormone therapy (birth control, progestins), and surgery (laparoscopy).|Children: Not applicable. Adults: Oral contraceptives (e.g., Norethindrone 5mg 2-3 times daily) or GnRH agonists (e.g., Leuprolide 3.75mg monthly IM).
Epilepsy|A central nervous system disorder in which brain activity becomes abnormal, causing seizures.|Genetics, head trauma, brain tumors, stroke, and infections.|Recurrent seizures (generalized tonic-clonic, absence, myoclonic), temporary confusion, staring spells, and jerking movements.|Anticonvulsant medications, surgery, or dietary therapy (ketogenic diet).|Children: Levetiracetam (10-20mg/kg) twice daily; dosage adjusted for weight. Adults: Levetiracetam (500-1500mg) twice daily.
Fibromyalgia|A condition characterized by widespread musculoskeletal pain accompanied by fatigue and sleep issues.|Unknown, but likely involves abnormal pain processing in the brain and spinal cord; genetics and infections may be triggers.|"Widespread pain, fatigue, cognitive difficulties (""fibro fog""), headaches, depression, and sleep disturbances."|Pain relievers, antidepressants, anticonvulsants, and lifestyle modifications like exercise and stress reduction.|Children: Pregabalin (75mg) twice daily for ages 12+. Adults: Pregabalin (75-150mg) twice daily; Duloxetine (30-60mg) once daily.
Fever (Pyrexia)|A temporary increase in body temperature, often due to an illness or infection.|Infections, heat exhaustion, inflammatory conditions, medications, and autoimmune conditions.|Elevated body temperature >37°C, chills, sweating, headache, weakness, and loss of appetite. [citation:2][citation:9]|Treating the underlying cause, rest, fluids, and antipyretics (e.g., Paracetamol, Ibuprofen). [citation:2]|Children: Paracetamol 15mg/kg every 4-6 hours (max 75mg/kg/day). [citation:6] Adults: Paracetamol 500-1000mg every 4-6 hours (max 4g/day). [citation:6]
Gastroenteritis|Inflammation of the stomach and intestines, commonly called the stomach flu.|Virus (rotavirus, norovirus), bacteria (Salmonella), parasites, food allergies, and toxins. [citation:2][citation:9]|Diarrhea, vomiting, stomach pain/cramps, nausea, fever, and chills. [citation:2][citation:9]|Hydration (oral rehydration solution), rest, and symptomatic relief (e.g., antiemetics). [citation:2]|Children: Oral rehydration solution (ORS) 50-100ml/kg over 4 hours. Adults: ORS as needed; anti-diarrheal Loperamide 4mg initially, then 2mg after each loose stool.
Glaucoma|A group of eye conditions that damage the optic nerve, often linked to elevated pressure in the eye.|Increased intraocular pressure, family history, age, and certain medical conditions.|Often no early symptoms. Later: loss of peripheral vision, eye pain, nausea, and halos around lights.|Prescription eye drops to reduce pressure, laser therapy, or surgery.|Children (pediatric): Beta-blocker drops (Timolol 0.5%) 1 drop twice daily. Adults: Prostaglandin analog (Latanoprost 0.005%) 1 drop once daily.
Gout|A common form of inflammatory arthritis characterized by sudden, severe attacks of pain in the joints, often the big toe.|High levels of uric acid in the blood, which can form crystals in joints.|Sudden severe pain, swelling, redness, and tenderness in the joint, often the big toe.|NSAIDs, colchicine, corticosteroids, and medications to lower uric acid levels (e.g., allopurinol). [citation:4]|Children: Not applicable. Adults: Colchicine 1.2mg initially, then 0.6mg after 1 hour (acute); Allopurinol 100-300mg daily (maintenance). [citation:4]
Hearing Loss|A partial or total inability to hear.|Aging, noise exposure, infections, genetic factors, birth complications, and earwax buildup.|Difficulty hearing, speaking in a louder voice, asking others to repeat themselves, and ringing in the ears (tinnitus).|Hearing aids, cochlear implants, assistive listening devices, and surgery.|Children: Not applicable (device). Adults: Not applicable (device).
Heart Failure|A chronic condition where the heart doesn't pump blood as well as it should.|Coronary artery disease, high blood pressure, previous heart attack, diabetes, and heart valve problems.|Shortness of breath, fatigue, swelling in the legs/ankles/feet, rapid weight gain from fluid retention, and persistent cough.|Lifestyle changes, medications (ACE inhibitors, beta-blockers, diuretics), and sometimes devices or surgery.|Children: Not applicable. Adults: Lisinopril (2.5-10mg) once daily; Furosemide (20-40mg) once/twice daily.
Hemorrhoids|Swollen veins in the lower rectum and anus.|Straining during bowel movements, chronic constipation/diarrhea, sitting for long periods, and pregnancy.|Painless bleeding, itching/irritation, swelling, pain, and a lump near the anus.|Fiber supplements, sitz baths, topical creams, and in severe cases, surgical removal.|Children: Not applicable. Adults: Topical Hydrocortisone 1% cream applied as needed; rubber band ligation for persistent cases.
Hepatitis B|A serious liver infection caused by the hepatitis B virus (HBV).|Contact with infected blood, semen, or other body fluids.|Jaundice (yellow skin/eyes), dark urine, severe fatigue, nausea, vomiting, and abdominal pain.|Acute: supportive care. Chronic: antiviral medications (e.g., entecavir, tenofovir) and liver monitoring.|Children: Entecavir (0.015mg/kg) once daily for ages 2+. Adults: Entecavir (0.5mg) once daily.
High Cholesterol|The presence of high levels of fat in the blood (hyperlipidemia).|Diet high in saturated fats, inactivity, genetics, and obesity.|Often no symptoms. Can cause chest pain if arteries are narrowed by atherosclerosis.|Lifestyle changes (diet/exercise) and lipid-lowering medications (statins). [citation:8]|Children (10+): Atorvastatin (10mg) once daily. Adults: Atorvastatin (10-80mg) once daily.
Hypertension|High blood pressure, a major risk factor for heart disease and stroke.|Obesity, high salt diet, inactivity, smoking, genetics, and stress.|Often no symptoms. May cause headaches, shortness of breath, or nosebleeds in severe cases.|Lifestyle changes (diet/exercise) and blood pressure medications (ACE inhibitors, diuretics, CCBs).|Children: Not applicable. Adults: Lisinopril (10-40mg) once daily; Hydrochlorothiazide (12.5-25mg) once daily. [citation:8]
Hyperthyroidism|An overactive thyroid gland that produces too much thyroxine.|Graves' disease, toxic nodular goiter, and thyroiditis.|Weight loss, rapid heartbeat, nervousness, sweating, tremors, fatigue, and frequent bowel movements. [citation:11]|Antithyroid medications (Methimazole, Propylthiouracil), beta-blockers for symptom control, or radioactive iodine. [citation:11]|Children (adolescents): Methimazole (5-10mg) 3 times daily. Adults: Methimazole (5-15mg) 1-3 times daily; Propranolol (10-40mg) 3-4 times daily. [citation:11]
Hypothyroidism|An underactive thyroid gland that doesn't produce enough thyroxine.|Hashimoto's disease, thyroiditis, or iodine deficiency.|Fatigue, weight gain, cold intolerance, constipation, dry skin, memory problems, and depression.|Synthetic thyroxine (Levothyroxine) hormone replacement. [citation:7]|Children: Levothyroxine (mcg/kg) based on age and weight (e.g., 2-4 mcg/kg for 1-3 years). Adults: Levothyroxine (50-200 mcg) once daily. [citation:7]
Insomnia|A common sleep disorder that makes it hard to fall asleep, stay asleep, or get restful sleep.|Stress, anxiety, depression, poor sleep habits, caffeine, medications, and medical conditions.|Difficulty falling asleep, waking up during the night, waking too early, daytime fatigue, and poor concentration.|Behavioral changes (sleep hygiene, CBT-I), and sometimes sedative-hypnotic medications.|Children: Not recommended for pharmacologic treatment. Adults: Zolpidem (5-10mg) once nightly for short-term use.
Irritable Bowel Syndrome (IBS)|A common disorder affecting the large intestine.|Unknown; linked to gut-brain axis, abnormal muscle contractions, and bowel inflammation.|Abdominal pain, cramping, bloating, gas, diarrhea, and constipation.|Diet changes (low FODMAP), stress management, and medications for symptom relief.|Children: Not recommended for pharmacologic treatment. Adults: Dicyclomine (10-20mg) 3-4 times daily; Loperamide for diarrhea.
